iter	MultiClass
231	0.6604185709
232	0.6579403795
233	0.6561308385
234	0.6534304803
235	0.6516951965
236	0.6498334354
237	0.6484745783
238	0.6456943148
239	0.6436618806
240	0.6416807506
241	0.6391788731
242	0.637567153
243	0.6363093314
244	0.6341180424
245	0.6327068984
246	0.6310048908
247	0.6287728205
248	0.626543889
249	0.6250642881
250	0.6233798904
251	0.6218457537
252	0.6206548419
253	0.6191232756
254	0.6175027407
255	0.6160355843
256	0.6136729454
257	0.6117593788
258	0.6099308914
259	0.6082836709
260	0.6071323767
261	0.6052424751
262	0.6036567856
263	0.6022407763
264	0.6010256482
265	0.5992694699
266	0.5974197098
267	0.5960815903
268	0.5944243541
269	0.5930582898
270	0.5912221073
271	0.5890565392
272	0.587357461
273	0.586645725
274	0.584639415
275	0.5832493205
276	0.5814092262
277	0.5802743297
278	0.5782017949
279	0.5764847955
280	0.5755389214
281	0.5749505457
282	0.5735194047
283	0.5715339596
284	0.5706564278
285	0.5692115791
286	0.5679333443
287	0.566058722
288	0.5651091818
289	0.5640404339
290	0.5624678023
291	0.5614019113
292	0.5603924896
293	0.5584691811
294	0.5572492271
295	0.5564281658
296	0.5554925109
297	0.5549620856
298	0.5536145886
299	0.5523860182
300	0.5503659921
301	0.5487898233
302	0.5472076814
303	0.5465405845
304	0.545120885
305	0.5439562195
306	0.5425938222
307	0.5412781359
308	0.5396526662
309	0.5385927159
310	0.5372902959
311	0.5355635114
312	0.5342688875
313	0.533037765
314	0.5321283887
315	0.5311060318
316	0.5300570242
317	0.5290129215
318	0.5278673323
319	0.5265723387
320	0.5257302694
321	0.5250924955
322	0.5241433847
323	0.5229205883
324	0.5218268288
325	0.5214092507
326	0.5202455792
327	0.5188597369
328	0.5170606739
329	0.5155840184
330	0.514566248
331	0.5130050427
332	0.5114606998
333	0.5105943122
334	0.5095147956
335	0.5080899114
336	0.5066200464
337	0.5053466674
338	0.5039506906
339	0.5014887068
340	0.5008966251
341	0.4996495757
342	0.4980816108
343	0.4973462748
344	0.496643634
345	0.4961013589
346	0.4949957089
347	0.4939550493
348	0.4927698987
349	0.4916602559
350	0.4901826884
351	0.4891528389
352	0.4882609264
353	0.4876397549
354	0.4862890168
355	0.4856715972
356	0.4849251863
357	0.4843037475
358	0.4831750246
359	0.4820669695
360	0.4814732107
361	0.480622246
362	0.4797264492
363	0.4784100177
364	0.4776403158
365	0.4771475231
366	0.4765685563
367	0.4756756872
368	0.4743425519
369	0.4737422457
370	0.4725680504
371	0.4718607413
372	0.4710150782
373	0.4703165837
374	0.4695038402
375	0.4683097935
376	0.4671272468
377	0.4665194017
378	0.4657082596
379	0.4648124368
380	0.4636165775
381	0.4628792387
382	0.4623139659
383	0.461423691
384	0.46050758
385	0.4594735043
386	0.4587071687
387	0.4579566684
388	0.4566661474
389	0.4561587216
390	0.4550614759
391	0.4539237743
392	0.4534048943
393	0.4518181651
394	0.4509186976
395	0.4506751407
396	0.4493508904
397	0.4485619234
398	0.4477749103
399	0.4470794191
400	0.4461595188
401	0.4458370841
402	0.4449024786
403	0.4436291081
404	0.4426866799
405	0.4416179247
406	0.4409983869
407	0.4405120536
408	0.4397493204
409	0.4391392268
410	0.4383873122
411	0.4379537521
412	0.4369161506
413	0.4359128304
414	0.4354601675
415	0.4345828491
416	0.4336695038
417	0.4328453727
418	0.4320302035
419	0.4313350424
420	0.430798222
421	0.4301641984
422	0.4296071486
423	0.4283410209
424	0.4279356514
425	0.4273015458
426	0.4265968179
427	0.4262500436
428	0.4257393139
429	0.4252351955
430	0.4246105509
431	0.423662362
432	0.4232083099
433	0.4222832823
434	0.4214069182
435	0.4204484221
436	0.4198982971
437	0.4190385224
438	0.4184479724
439	0.417646142
440	0.4171203974
441	0.4165719462
442	0.4159757539
443	0.415298128
444	0.4145522324
445	0.4136520683
446	0.4131838832
447	0.4128158829
448	0.4120814869
449	0.4115589475
450	0.4110207473
451	0.4099036621
452	0.4095843066
453	0.4091891237
454	0.4085357307
455	0.4077723515
456	0.4073252265
457	0.4063851238
458	0.4056413436
459	0.4047364369
460	0.4038155572
461	0.4033644981
462	0.4023393119
463	0.401737898
464	0.4012453738
465	0.4003286857
466	0.3996416944
467	0.3991440647
468	0.3985565433
469	0.3980189273
470	0.3973507077
471	0.3964472683
472	0.3960421565
473	0.3953340343
474	0.3948914799
475	0.3942331412
476	0.3935490332
477	0.3929812305
478	0.3921600344
479	0.3915047928
480	0.3905616852
481	0.3898459066
482	0.3892115629
483	0.38868634
484	0.3877002182
485	0.3872134803
486	0.3866833881
487	0.3862000889
488	0.3853155698
489	0.3849205047
490	0.384186562
491	0.3836141017
492	0.3831773772
493	0.382489731
494	0.3820178515
495	0.3815294741
496	0.3806458346
497	0.3804215927
498	0.3795986353
499	0.3789451857
